date,hour,predicted_temperature,actual_temperature
2024-02-22,1,14.667638371208524,18.208657836914085
2024-02-22,2,14.714978146881247,17.95801696777346
2024-02-22,3,16.41120797976948,19.865655517578148
2024-02-22,4,19.651594132137603,22.149453735351585
2024-02-22,5,22.00741724694312,24.232965087890648
2024-02-22,6,23.654872379218524,26.078652954101585
2024-02-22,7,24.53503210774588,27.58478698730471
2024-02-22,8,25.060968753970073,28.360986328125023
2024-02-22,9,25.150445541277712,28.964944458007835
2024-02-22,10,24.77882023345005,29.32077941894533
2024-02-22,11,23.88815601029036,28.98825988769533
2024-02-22,12,22.130530659573765,28.486734008789085
2024-02-22,13,19.44317939841971,27.111184692382835
2024-02-22,14,16.89510959249772,25.57564697265628
2024-02-22,15,15.243105110781983,24.123452758789085
2024-02-22,16,14.220209482031683,22.81067810058596
2024-02-22,17,13.520712032606408,21.656518554687523
2024-02-22,18,13.11749043499806,20.755273437500023
2024-02-22,19,13.087715954867564,20.23604736328128
2024-02-22,20,13.226532804295644,19.638970947265648
2024-02-22,21,13.428809591479265,18.93128356933596
2024-02-22,22,13.743624597151118,18.105554199218773
2024-02-22,23,14.358980266993612,17.027383422851585
2024-02-23,0,14.534929687528122,15.737527465820335
2024-02-23,1,14.649797735492866,14.638818359375025
2024-02-23,2,14.69713751116559,13.90216979980471
2024-02-23,3,16.393367344053818,16.749612426757835
2024-02-23,4,19.633753496421946,20.975915527343773
2024-02-23,5,21.989576611227463,24.156411743164085
2024-02-23,6,23.637031743502863,26.6286560058594
2024-02-23,7,24.517191472030223,28.55100402832033
2024-02-23,8,25.043128118254415,29.087548828125023
2024-02-23,9,25.13260490556205,29.35935363769533
2024-02-23,10,24.76097959773439,29.386392211914085
2024-02-23,11,23.870315374574695,29.077416992187523
2024-02-23,12,22.112690023858107,28.301538085937523
2024-02-23,13,19.42533876270405,26.738641357421898
2024-02-23,14,16.87726895678206,24.507653808593773
2024-02-23,15,15.225264475066325,22.39039001464846
2024-02-23,16,14.202368846316025,20.88593444824221
2024-02-23,17,13.502871396890747,19.879418945312523
2024-02-23,18,13.099649799282403,19.04529724121096
2024-02-23,19,13.069875319151906,18.47603759765628
2024-02-23,20,13.208692168579983,17.70893249511721
2024-02-23,21,13.410968955763607,16.87433776855471
2024-02-23,22,13.72578396143546,16.157922363281273
2024-02-23,23,14.34113963127795,15.646997070312525
2024-02-24,0,14.517089051812464,15.16462097167971
2024-02-24,1,14.631957099777209,14.697000122070335
2024-02-24,2,14.679296875449928,14.315408325195335
2024-02-24,3,16.37552670833816,16.535806274414085
2024-02-24,4,19.61591286070629,20.983926391601585
2024-02-24,5,21.971735975511805,24.501611328125023
